port,count
49381/tcp,1498
49386/tcp,1495
49388/tcp,1494
49398/tcp,1489
49403/tcp,1488
49400/tcp,1488
19302/udp,1483
49382/tcp,1477
40001/udp,1473
22790/tcp,1472
49405/tcp,1472
49410/tcp,1465
49396/tcp,1463
49385/tcp,1462
50482/udp,1457
427/udp,1457
49404/tcp,1455
49383/tcp,1447
4240/udp,1445
49407/tcp,1442
49389/tcp,1437
3001/tcp,1418
6600/tcp,1373
22233/tcp,1351
6969/udp,1329
1125/tcp,1327
50407/udp,1325
1155/tcp,1301
3478/tcp,1258
8081/tcp,1257
6005/tcp,1241
2445/tcp,1220
1443/tcp,1217
1779/udp,1177
6882/udp,1173
52620/udp,1162
49837/tcp,1152
10010/tcp,1146
162/udp,1126
53439/udp,1115
587/tcp,1112
8413/tcp,1077
1400/tcp,1070
53246/udp,1034
515/tcp,1023
5242/tcp,1015
465/tcp,1006
8700/udp,992
3479/udp,980
50880/udp,976
3993/tcp,967
5938/tcp,950
8000/udp,950
53046/tcp,945
3480/udp,937
853/tcp,919
3483/udp,916
4241/udp,914
3485/udp,910
3486/udp,894
51088/udp,892
3493/udp,892
3495/udp,887
3489/udp,883
3484/udp,871
50530/udp,866
3492/udp,864
3482/udp,861
8091/tcp,861
27017/tcp,860
3481/udp,859
3490/udp,857
51752/udp,855
3487/udp,845
8446/tcp,837
3491/udp,831
3488/udp,828
3494/udp,827
51843/udp,827
51396/udp,822
9573/tcp,818
5004/udp,815
10511/tcp,813
19132/udp,807
5224/tcp,804
7825/udp,801
50123/udp,797
50715/udp,786
28010/tcp,773
2598/tcp,772
110/tcp,761
8702/udp,759
9094/tcp,750
1489/udp,743
554/tcp,739
50631/udp,738
139/tcp,731
88/udp,729
9090/tcp,712
5060/udp,712
1121/tcp,712
8192/tcp,706
3389/tcp,703
8108/tcp,702
50818/udp,698
51248/udp,692
55874/udp,681
8000/tcp,658
56383/udp,641
9081/tcp,639
7810/tcp,638
49233/udp,636
50070/udp,632
8883/tcp,625
52019/udp,623
51413/tcp,620
54660/udp,619
50416/udp,618
51840/udp,616
6010/tcp,609
1688/tcp,608
56322/udp,604
49999/udp,598
53098/udp,592
50093/udp,587
10240/udp,585
7311/udp,584
17050/udp,578
54144/udp,578
8704/udp,574
11737/udp,565
52378/udp,554
1818/tcp,549
51795/udp,549
8612/udp,546
1025/tcp,543
1123/tcp,536
50186/udp,535
8080/udp,534
27902/udp,534
53495/udp,532
4242/udp,529
51134/udp,526
30116/tcp,525
16403/udp,520
49001/udp,517
5044/tcp,516
56600/udp,515
54286/tcp,513
49866/udp,506
49160/udp,503
8181/tcp,499
20000/tcp,499
25401/udp,498
50105/udp,494
49667/udp,492
33434/udp,492
58321/udp,492
19890/tcp,491
9339/tcp,484
51449/udp,483
52555/udp,483
54072/udp,480
5351/udp,479
26790/tcp,472
49863/udp,468
52305/udp,467
50000/udp,465
5006/tcp,464
1130/tcp,457
55147/udp,456
50702/udp,452
5310/tcp,447
52484/udp,447
1337/udp,445
25269/tcp,445
52859/udp,437
1024/udp,437
16881/udp,434
35000/udp,433
49393/udp,427
10001/udp,419
9339/udp,417
49959/udp,416
7082/udp,416
52431/udp,415
5002/tcp,415
53788/udp,414
49156/tcp,412
49621/udp,412
44505/tcp,404
15064/tcp,402
51285/udp,402
50255/udp,401
8706/udp,397
52376/udp,396
57957/udp,395
43613/udp,394
9997/tcp,394
1468/udp,393
35500/udp,388
26085/udp,388
50368/udp,386
7273/udp,385
62348/udp,385
16203/tcp,384
33434/tcp,382
50474/udp,381
8447/tcp,381
1854/udp,380
9080/udp,379
52878/udp,378
52661/udp,376
5036/udp,376
9030/udp,374
53284/udp,373
27019/udp,372
55971/udp,369
8701/udp,368
52967/udp,367
3910/tcp,367
23939/udp,367
32100/udp,365
54510/udp,365
51456/udp,359
52275/udp,359
5090/udp,357
55041/udp,356
40815/tcp,355
49157/tcp,353
27018/udp,351
6447/tcp,350
50096/udp,346
9559/udp,345
58338/tcp,344
53282/udp,343
49196/udp,342
53594/udp,341
50614/udp,341
8116/udp,340
8011/tcp,340
1478/tcp,338
5028/udp,337
8621/udp,336
53638/udp,336
53590/udp,336
5027/tcp,334
4425/udp,332
52209/udp,329
52777/udp,328
49704/udp,328
45317/tcp,328
27017/udp,328
49943/udp,327
49311/udp,323
49335/udp,322
56075/udp,321
50838/udp,321
57552/udp,321
53832/udp,321
16394/udp,321
59480/tcp,320
53033/udp,319
38459/tcp,318
49216/udp,318
58343/tcp,317
23380/tcp,317
47998/tcp,315
53985/udp,314
54239/udp,314
8890/tcp,313
52796/udp,313
58145/udp,312
6883/udp,311
56513/udp,310
52970/udp,310
51609/tcp,309
53855/tcp,307
62124/tcp,306
52678/udp,304
54233/tcp,304
1139/tcp,303
42132/tcp,303
49422/udp,303
8002/udp,302
55787/udp,302
60276/tcp,301
2710/udp,300
49158/tcp,300
3911/tcp,297
53534/udp,297
5056/udp,295
9000/tcp,295
52698/udp,295
51656/udp,292
8611/udp,289
51131/udp,287
51280/udp,287
55352/udp,285
52675/udp,284
7611/tcp,284
58355/udp,284
56913/udp,284
53369/udp,284
35110/tcp,279
8708/udp,279
56697/udp,278
49336/udp,277
49159/tcp,276
19305/udp,275
10050/udp,273
35295/tcp,272
2856/tcp,272
5055/udp,271
8703/udp,270
49157/udp,270
56024/udp,270
49541/udp,269
10000/tcp,269
35946/tcp,267
20489/udp,267
1182/tcp,265
38973/tcp,265
3024/udp,265
9000/udp,264
56623/udp,264
1158/tcp,263
4040/udp,263
52441/udp,263
9/udp,261
49566/udp,261
55697/udp,261
35747/tcp,261
42822/tcp,261
6885/udp,260
8041/tcp,259
35393/tcp,259
58442/tcp,258
44305/tcp,257
14393/tcp,256
39972/tcp,255
53869/tcp,255
54802/udp,255
51766/tcp,254
59070/tcp,254
1533/tcp,254
27879/udp,253
38909/tcp,253
36914/tcp,253
49258/udp,253
57421/tcp,253
49185/udp,251
54086/udp,251
8001/tcp,249
1184/tcp,248
111/udp,248
54091/udp,246
49450/udp,246
52185/udp,245
20028/tcp,245
52847/udp,243
5500/tcp,242
51337/udp,241
19000/tcp,239
16010/udp,238
561/tcp,237
8006/tcp,237
53599/udp,237
1719/udp,236
2800/tcp,236
16285/udp,234
55828/udp,234
7077/tcp,233
3544/udp,233
8004/tcp,232
49781/udp,231
44444/udp,231
57977/udp,230
51930/udp,229
49853/udp,229
35603/udp,229
8189/tcp,228
6884/udp,227
50701/udp,227
54904/udp,227
7123/udp,225
51211/udp,224
51953/udp,224
51801/udp,223
53249/udp,223
51828/udp,223
54665/udp,222
9999/tcp,222
56479/udp,221
8002/tcp,221
15028/udp,221
54455/udp,219
50995/udp,218
8003/tcp,217
1434/udp,216
49849/udp,215
51240/udp,215
6001/udp,213
5725/tcp,213
52699/udp,212
10009/tcp,211
1951/tcp,210
56245/udp,209
40042/tcp,209
12530/udp,209
50340/udp,209
56169/udp,208
51001/udp,207
57066/udp,207
57359/udp,206
9001/tcp,206
56298/udp,205
6886/udp,205
2967/tcp,205
45682/udp,204
26875/udp,203
53737/udp,203
1972/tcp,203
59212/tcp,202
50234/udp,202
43611/udp,202
15048/udp,202
40003/udp,202
8005/tcp,201
55226/udp,201
7169/tcp,201
6887/udp,200
53893/tcp,200
27892/udp,200
42778/tcp,199
51979/udp,199
51264/udp,198
47994/tcp,198
3000/tcp,198
41913/tcp,198
31005/udp,198
36762/tcp,198
12480/udp,197
10006/tcp,197
50442/udp,197
50300/tcp,197
35727/tcp,197
58710/tcp,197
53438/tcp,196
33924/tcp,196
57617/udp,196
42054/tcp,196
40506/tcp,196
34293/tcp,195
58559/udp,195
44822/udp,195
48819/tcp,195
51705/tcp,194
57121/tcp,194
33166/tcp,194
52354/tcp,194
62201/tcp,194
58448/tcp,193
50050/udp,193
47344/tcp,193
50262/udp,193
8705/udp,193
53502/udp,193
52552/udp,193
53048/tcp,192
53027/udp,192
38417/tcp,192
34138/tcp,192
36507/tcp,191
51959/udp,191
1162/udp,191
1150/tcp,191
5036/tcp,190
59815/tcp,190
53124/udp,190
36777/tcp,190
44445/udp,190
50809/udp,190
51017/udp,189
56373/tcp,189
21047/tcp,189
1311/udp,189
51225/udp,188
3950/udp,188
46221/tcp,188
5814/tcp,188
1278/udp,186
49845/tcp,185
50219/udp,185
52643/udp,184
57805/udp,184
54188/udp,184
49575/udp,183
51099/tcp,183
9826/udp,183
53000/udp,183
52823/tcp,182
50547/udp,182
14000/tcp,182
34561/tcp,182
54521/udp,182
50247/udp,182
19305/tcp,182
29070/tcp,182
58160/tcp,181
11000/tcp,180
44447/udp,180
50550/udp,180
47316/tcp,180
7169/udp,180
9877/tcp,180
29389/udp,179
49508/udp,179
51034/udp,178
3781/udp,178
44446/udp,178
53584/udp,178
54862/udp,178
8710/udp,178
50981/udp,177
50279/udp,177
4443/tcp,177
49708/udp,176
55148/udp,176
8116/tcp,176
52297/udp,175
7071/tcp,175
54469/udp,174
54748/udp,173
54085/udp,173
49152/udp,173
6892/udp,172
55681/udp,172
6888/udp,172
55436/tcp,171
50862/udp,170
50129/udp,169
51307/udp,168
64175/tcp,168
53428/udp,168
9100/tcp,167
51594/udp,167
40547/tcp,166
53368/udp,166
8100/udp,165
6992/udp,165
49871/udp,164
20027/tcp,164
52662/udp,163
9759/tcp,163
8093/tcp,162
36365/tcp,162
51013/udp,161
50529/udp,161
49685/udp,161
1947/tcp,161
54716/udp,160
636/tcp,160
51899/udp,160
49957/udp,160
56415/udp,159
51750/udp,159
49427/udp,159
28225/tcp,159
4829/tcp,158
1468/tcp,158
5005/udp,157
8800/udp,157
57403/udp,156
57640/udp,156
51779/udp,155
17788/udp,155
51610/udp,155
14984/tcp,154
16001/udp,154
1489/tcp,154
57379/tcp,154
37628/tcp,153
2054/udp,153
1105/tcp,153
53919/udp,152
8057/tcp,152
50557/udp,151
52038/udp,151
24874/udp,150
54898/udp,149
53957/udp,149
57166/udp,149
4100/tcp,149
59696/udp,148
6881/tcp,148
55203/udp,148
49560/udp,147
5040/tcp,147
17744/udp,147
53896/udp,147
8001/udp,147
58928/udp,146
16000/udp,146
54609/udp,146
59165/udp,146
20030/tcp,145
5000/tcp,145
50432/udp,145
8083/tcp,145
7800/tcp,145
54419/udp,144
2169/udp,144
50137/udp,144
56059/udp,144
5008/udp,143
52645/udp,143
8707/udp,142
51618/tcp,142
50038/udp,142
50752/udp,141
34811/tcp,141
5680/udp,141
17804/udp,141
8154/tcp,141
6890/udp,141
53736/udp,140
56779/udp,140
53253/udp,140
50383/udp,140
55440/udp,140
51336/udp,140
50031/tcp,139
17792/udp,139
55872/udp,139
54531/udp,139
58107/udp,139
1111/tcp,138
8102/udp,138
65534/udp,138
56183/udp,137
52888/udp,137
17872/udp,137
1119/tcp,137
17808/udp,137
58499/udp,137
61137/udp,137
1025/udp,137
1160/tcp,136
51498/udp,136
17868/udp,136
53160/udp,136
17800/udp,136
49/tcp,136
55555/udp,135
56390/udp,135
55077/udp,135
15049/udp,135
7985/udp,135
58438/udp,134
1884/udp,134
49698/udp,134
49666/tcp,134
17780/udp,134
53073/udp,134
50635/udp,133
58749/udp,133
50253/udp,133
755/tcp,133
55176/udp,133
19061/tcp,132
17724/udp,132
51372/udp,132
4000/udp,132
10805/tcp,131
17824/udp,131
8104/udp,131
38247/tcp,131
17776/udp,131
60134/udp,130
23/tcp,130
16002/udp,130
17748/udp,130
49891/udp,130
17772/udp,129
17732/udp,129
17796/udp,129
17760/udp,129
15029/udp,129
56716/udp,129
12604/udp,129
17820/udp,129
51052/udp,129
49678/udp,128
15216/udp,128
12610/udp,128
50516/udp,128
47351/udp,128
15002/tcp,128
17816/udp,127
17700/udp,127
42558/tcp,127
17740/udp,127
17756/udp,127
17728/udp,127
17720/udp,127
12600/udp,127
2638/tcp,127
7003/tcp,127
1526/tcp,127
51546/udp,127
8106/udp,127
52224/udp,126
9999/udp,126
58710/udp,126
3013/tcp,126
15217/udp,126
64562/tcp,125
50630/udp,125
17764/udp,125
52884/udp,125
49388/udp,125
50830/udp,125
50103/udp,124
17736/udp,124
8088/tcp,124
54505/udp,124
50469/udp,124
52052/udp,124
50508/tcp,124
51855/udp,123
16003/udp,123
55998/udp,123
12602/udp,123
56995/udp,123
49748/udp,123
56107/udp,123
17832/udp,123
53766/udp,123
17768/udp,123
9443/tcp,122
56694/udp,122
16881/tcp,122
49300/udp,122
5689/udp,122
42458/tcp,122
555/tcp,122
49282/udp,122
7001/tcp,121
57784/udp,121
780/tcp,121
6555/tcp,121
64688/tcp,121
15303/udp,121
51909/udp,121
15302/udp,120
7987/udp,120
50993/udp,120
5688/udp,120
56637/udp,119
9093/tcp,119
57703/udp,119
5671/tcp,118
54779/udp,118
54460/udp,118
3250/tcp,118
59177/udp,118
50500/udp,118
8012/tcp,117
51138/udp,117
2153/udp,117
49416/udp,117
57526/udp,117
58292/udp,117
49234/udp,116
55043/udp,116
49360/udp,116
51116/udp,116
49686/udp,116
51503/udp,116
50951/udp,116
54722/udp,115
53422/udp,115
5656/udp,115
102/tcp,115
55317/udp,115
62070/tcp,115
8108/udp,115
50015/udp,115
104/tcp,115
53329/udp,115
32913/tcp,114
52069/udp,114
47808/udp,114
8153/tcp,114
55669/udp,114
54696/udp,114
51535/udp,114
5432/tcp,114
50632/udp,113
1106/tcp,113
54428/udp,113
54357/udp,113
15003/tcp,113
55609/udp,113
53070/udp,113
62130/tcp,112
44508/udp,112
49298/udp,112
5657/udp,112
51985/udp,112
1101/tcp,112
57532/udp,112
56039/udp,112
53413/udp,112
1132/tcp,111
23791/tcp,111
55810/udp,110
51573/udp,110
54448/udp,110
51716/udp,110
30047/tcp,110
51562/tcp,110
55467/udp,110
52390/udp,110
54686/udp,109
53216/udp,109
54223/udp,109
49178/udp,109
56840/udp,109
57205/udp,109
49864/udp,108
18260/tcp,108
52911/udp,108
51937/udp,108
16004/udp,108
49992/udp,108
49498/udp,107
3389/udp,107
53752/udp,107
15104/udp,107
53479/udp,107
50669/udp,107
58366/udp,107
53274/udp,107
451/udp,107
50734/udp,106
4886/udp,106
1863/tcp,106
58999/udp,106
30738/tcp,106
58441/udp,106
51251/udp,105
55011/udp,104
53769/udp,104
5058/udp,104
15105/udp,104
53855/udp,104
50641/udp,104
51328/tcp,103
54304/udp,103
8112/udp,103
50180/udp,102
55044/udp,102
56932/udp,102
9150/tcp,102
51265/udp,102
53793/udp,102
55026/udp,102
5632/udp,102
1514/udp,102
53333/udp,101
50566/udp,101
53121/udp,101
20080/tcp,101
8118/udp,101
5640/udp,101
52079/udp,101
49514/udp,101
54830/udp,101
52696/udp,101
55192/udp,101
7010/tcp,100
53136/udp,100
53214/udp,100
14031/udp,100
5057/udp,100
1126/tcp,100
52439/udp,100
49228/udp,100
49361/udp,99
4828/tcp,99
51104/udp,99
54548/udp,99
25001/tcp,99
5690/udp,99
57378/udp,99
50707/udp,99
53426/udp,99
50322/udp,98
51369/udp,98
49562/udp,98
7005/tcp,98
50361/udp,98
59071/udp,98
15456/udp,98
15248/udp,98
57364/udp,98
62000/tcp,97
8615/tcp,97
51813/udp,97
54496/udp,97
52200/udp,97
54941/udp,97
15976/udp,97
32914/tcp,96
15944/udp,96
15052/udp,96
50712/udp,96
51505/udp,96
56012/udp,96
51562/udp,95
57562/udp,95
57472/udp,95
55085/udp,95
1524/tcp,95
53709/udp,95
8082/tcp,95
5046/tcp,94
49306/udp,94
60038/udp,94
6969/tcp,94
52194/udp,94
7002/tcp,94
54364/udp,94
54185/udp,93
53303/tcp,93
39161/tcp,93
59086/udp,93
44401/tcp,93
10619/udp,93
53102/udp,93
444/udp,93
49292/udp,92
7004/tcp,92
65249/tcp,92
49937/udp,92
55126/udp,92
55326/udp,92
14029/udp,92
49883/udp,92
56013/udp,92
55477/udp,91
56056/udp,91
14028/udp,91
54222/udp,91
15000/udp,91
55524/udp,91
49791/udp,91
15140/udp,91
7007/tcp,91
15092/udp,91
55258/udp,91
52789/udp,91
60532/tcp,91
58578/udp,90
54443/tcp,90
1026/udp,90
8712/udp,90
51414/udp,90
8110/udp,90
7333/tcp,90
5672/udp,90
15080/udp,90
53573/udp,90
49512/udp,89
55335/udp,89
8709/udp,89
54891/udp,89
50998/udp,89
1080/udp,89
54561/udp,89
55020/udp,89
57358/udp,88
5672/tcp,88
8114/udp,88
54611/udp,88
56925/udp,88
15200/udp,88
15960/udp,88
51669/udp,88
15112/udp,88
52509/udp,88
25000/udp,88
53577/udp,88
18091/tcp,88
49583/udp,88
16036/udp,88
53519/udp,88
54021/udp,88
8444/udp,87
15592/udp,87
52357/udp,87
59539/udp,87
58467/udp,87
52607/udp,87
3821/tcp,87
54197/udp,87
60000/udp,87
55531/udp,87
55115/tcp,87
51398/udp,87
54399/udp,87
54680/udp,86
54413/udp,86
15600/udp,86
57566/udp,86
14030/udp,86
15172/udp,86
15036/udp,86
55980/udp,86
15032/udp,86
2720/udp,86
53120/udp,86
57471/udp,86
52054/udp,86
12608/udp,86
55981/udp,86
51917/udp,86
15156/udp,85
8106/tcp,85
15100/udp,85
53568/udp,85
51057/udp,85
15168/udp,85
54165/udp,85
50443/udp,85
54113/udp,85
15596/udp,85
51325/udp,85
16028/udp,85
51476/udp,85
55450/udp,85
20000/udp,85
15116/udp,84
1040/udp,84
56136/udp,84
15088/udp,84
15064/udp,84
15040/udp,84
15536/udp,84
51596/udp,84
12606/udp,84
52090/udp,84
15956/udp,84
16024/udp,84
15044/udp,83
51742/udp,83
8765/udp,83
51370/udp,83
51466/udp,83
32761/udp,83
52369/udp,83
5039/udp,83
50001/udp,83
53574/udp,83
8188/tcp,82
57299/udp,82
16002/tcp,82
57410/udp,82
7006/tcp,82
49642/udp,82
55348/udp,82
49895/udp,81
56411/udp,81
56565/udp,81
52525/udp,81
4595/tcp,81
15084/udp,81
54995/udp,81
59450/udp,81
7080/tcp,81
8102/tcp,81
58561/udp,80
34822/tcp,80
8811/udp,80
52343/udp,80
49804/udp,80
2383/tcp,80
56396/udp,80
50091/udp,80
49403/udp,79
50510/udp,79
33487/udp,79
50892/udp,79
43293/tcp,79
50854/udp,79
85/tcp,79
49387/udp,79
53567/udp,79
56194/udp,78
50190/udp,78
52124/udp,78
51796/udp,78
50857/udp,78
38346/tcp,78
50628/udp,78
49644/udp,78
34839/tcp,78
56685/tcp,78
56916/udp,78
7918/tcp,78
50666/udp,77
54622/udp,77
7008/tcp,77
9800/tcp,77
50114/udp,77
8815/udp,77
52851/udp,77
27015/udp,77
58308/udp,77
8812/udp,77
60981/tcp,77
55864/udp,76
55823/udp,76
55294/tcp,76
52359/udp,76
5683/udp,76
55928/udp,76
52362/udp,76
8814/udp,76
49385/udp,76
8813/udp,76
44448/udp,75
50591/udp,75
50745/udp,75
49661/udp,75
51234/udp,75
7410/tcp,75
36504/tcp,75
54900/udp,75
52199/udp,75
54389/udp,75
53520/udp,75
51218/udp,75
8810/udp,75
55615/udp,75
23/udp,75
52624/udp,75
17500/tcp,75
7070/udp,75
49995/udp,75
54023/udp,75
58521/udp,75
52538/udp,75
54286/udp,74
1027/udp,74
52720/udp,74
58782/udp,74
24322/udp,74
50323/udp,74
53035/udp,74
49912/udp,74
50269/udp,74
12061/tcp,74
49840/udp,74
56141/udp,74
49777/udp,74
49412/udp,74
56939/udp,74
49986/udp,74
40002/udp,73
50817/udp,73
5676/udp,73
55825/udp,73
5349/udp,73
14027/udp,73
54078/udp,73
47003/udp,73
56751/udp,73
49518/udp,73
55445/udp,73
57087/udp,73
50364/udp,73
50882/udp,73
50687/udp,73
56960/udp,73
50445/udp,73
9101/udp,73
56291/udp,73
50678/udp,72
6380/tcp,72
52856/udp,72
52106/tcp,72
30019/tcp,72
51417/udp,72
56168/udp,72
119/tcp,72
52742/udp,72
8900/udp,72
56683/udp,72
50515/udp,72
55217/udp,72
12020/tcp,72
49993/udp,72
55121/udp,72
51694/udp,72
53545/udp,72
49496/udp,72
57522/udp,72
16882/udp,71
51646/udp,71
51415/udp,71
49893/udp,71
110/udp,71
57274/udp,71
49736/udp,71
31000/tcp,71
51668/udp,71
54998/udp,71
119/udp,71
53753/udp,71
25/udp,71
49249/udp,71
8092/udp,71
52599/udp,70
50686/udp,70
59552/udp,70
44449/udp,70
51603/tcp,70
44550/tcp,70
60146/udp,70
52797/udp,70
50418/udp,70
53105/udp,70
60807/tcp,70
53332/udp,70
55850/udp,70
53031/udp,70
54010/udp,70
5636/udp,69
53810/udp,69
5668/udp,69
49164/udp,69
51448/udp,69
53789/udp,69
5053/udp,69
57534/udp,69
64668/tcp,69
808/tcp,69
55539/udp,69
59029/udp,69
56878/udp,69
22333/tcp,69
50185/udp,69
51190/udp,69
7043/tcp,69
55655/udp,69
54515/udp,68
50000/tcp,68
51276/udp,68
14026/udp,68
51885/udp,68
57816/udp,68
54507/udp,68
40959/udp,68
50362/udp,68
20001/udp,68
14259/tcp,68
59582/udp,68
55415/udp,68
39176/tcp,68
53351/udp,68
56888/udp,68
65190/udp,68
57343/udp,68
53645/udp,68
38484/udp,68
50270/udp,68
27838/udp,68
56488/tcp,67
53377/udp,67
49324/udp,67
51588/udp,67
59360/udp,67
52892/udp,67
8092/tcp,67
54219/udp,67
14025/udp,67
2250/udp,67
50558/udp,67
57789/udp,67
8112/tcp,67
49671/udp,67
50681/udp,67
51380/tcp,67
39356/tcp,66
55244/tcp,66
51871/tcp,66
50651/udp,66
49525/udp,66
52243/tcp,66
64708/tcp,66
53874/tcp,66
53299/udp,66
20002/udp,66
62239/udp,66
58390/udp,66
51823/udp,66
14024/udp,66
53971/udp,66
59055/udp,65
51400/udp,65
35907/tcp,65
44146/tcp,65
54088/udp,65
52464/tcp,65
56679/udp,65
61715/udp,65
2790/udp,65
58740/udp,65
55133/udp,65
53393/udp,65
49425/udp,65
34938/tcp,65
49098/tcp,64
1883/tcp,64
56303/udp,64
45458/tcp,64
49538/udp,64
51490/udp,64
53116/udp,64
7788/udp,64
49671/tcp,64
26766/tcp,64
54495/udp,64
49442/udp,64
38762/tcp,64
7881/udp,64
42760/tcp,64
50941/udp,64
50421/udp,64
6202/tcp,64
56397/udp,64
51000/udp,64
55195/udp,64
53177/udp,64
17000/udp,64
57337/udp,64
54225/udp,64
53659/udp,64
49503/udp,63
58366/tcp,63
50798/udp,63
55379/udp,63
36850/tcp,63
38242/tcp,63
2710/tcp,63
53188/udp,63
50807/udp,63
49581/udp,63
53277/udp,63
54841/udp,63
27036/udp,63
42244/tcp,63
35267/tcp,63
59937/udp,62
47961/tcp,62
4501/udp,62
47132/tcp,62
53499/udp,62
8040/tcp,62
56274/udp,62
53334/udp,62
57267/udp,62
53622/udp,62
58380/udp,62
7695/tcp,62
51122/udp,62
55000/udp,62
3100/tcp,62
52670/udp,62
52530/udp,62
4544/udp,62
5012/udp,62
54804/tcp,62
55112/udp,62
47176/tcp,62
5355/udp,62
24718/udp,61
53013/udp,61
52161/udp,61
50730/udp,61
55795/udp,61
51931/tcp,61
60349/udp,61
52639/udp,61
52383/udp,61
6991/udp,61
58865/tcp,61
49733/udp,61
51187/udp,61
5601/tcp,61
49705/udp,61
4443/udp,61
53450/udp,61
53312/udp,61
52436/udp,61
51339/udp,60
51305/udp,60
53980/udp,60
57686/udp,60
8380/tcp,60
9956/udp,60
445/udp,60
55447/udp,60
1935/tcp,60
53643/udp,60
57420/udp,60
57480/udp,60
6364/tcp,60
51634/udp,60
554/udp,60
1096/tcp,60
57876/udp,60
51111/udp,60
5126/tcp,60
51420/udp,60
55369/udp,60
7500/udp,60
8011/udp,59
548/udp,59
53820/udp,59
52316/udp,59
49161/udp,59
2780/udp,59
68/udp,59
59096/udp,59
56417/udp,59
55595/udp,59
57024/udp,59
59183/udp,59
44492/tcp,59
60552/tcp,59
57705/udp,59
51232/tcp,59
9282/tcp,59
10000/udp,59
5431/udp,59
43901/udp,59
55218/udp,59
9955/udp,59
52916/udp,59
50938/udp,59
1136/tcp,59
51015/udp,59
49492/udp,59
5684/udp,59
13222/udp,59
9502/tcp,59
51412/udp,58
5226/tcp,58
19191/udp,58
16061/tcp,58
51330/udp,58
52028/udp,58
55888/udp,58
2003/udp,58
55320/udp,58
55050/udp,58
49477/udp,58
59080/udp,58
7011/tcp,58
53235/udp,58
55403/udp,58
5350/udp,58
7690/tcp,58
49602/tcp,58
52653/udp,58
50111/udp,58
52744/udp,58
54327/udp,58
23266/udp,58
7870/tcp,58
55031/udp,58
52502/udp,58
55926/udp,58
49806/udp,58
10271/tcp,58
49906/udp,58
49632/tcp,58
49630/udp,58
58849/udp,58
53025/udp,57
1116/tcp,57
52053/udp,57
49156/udp,57
50937/udp,57
55140/udp,57
